#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Roman split
irck2_convert_to_italian;Embrace Italian Culture;Embrace Italian Culture;Embrace Italian Culture;;Embrace Italian Culture;;;;;;;;;x
irck2_convert_to_dalmatian;Embrace Dalmatian Culture;Embrace Dalmatian Culture;Embrace Dalmatian Culture;;Embrace Dalmatian Culture;;;;;;;;;x
irck2_convert_to_romanian;Embrace Vlach Culture;Embrace Vlach Culture;Embrace Vlach Culture;;Embrace Vlach Culture;;;;;;;;;x
irck2_convert_to_occitan;Embrace Occitan Culture;Embrace Occitan Culture;Embrace Occitan Culture;;Embrace Occitan Culture;;;;;;;;;x
irck2_convert_to_frankish;Embrace French Culture;Embrace French Culture;Embrace French Culture;;Embrace French Culture;;;;;;;;;x
irck2_convert_to_catalan;Embrace Catalan Culture;Embrace Catalan Culture;Embrace Catalan Culture;;Embrace Catalan Culture;;;;;;;;;x
irck2_convert_to_castillan;Embrace Castilian Culture;Embrace Castilian Culture;Embrace Castilian Culture;;Embrace Castilian Culture;;;;;;;;;x
irck2_convert_to_portuguese;Embrace Portuguese Culture;Embrace Portuguese Culture;Embrace Portuguese Culture;;Embrace Portuguese Culture;;;;;;;;;x
irck2_convert_to_sardinian;Embrace Sardinian Culture;Embrace Sardinian Culture;Embrace Sardinian Culture;;Embrace Sardinian Culture;;;;;;;;;x
irck2_convert_to_italian_desc;You and your unlanded Roman relatives convert to Italian Culture;You and your unlanded Roman relatives convert to Italian Culture;You and your unlanded Roman relatives convert to Italian Culture;;You and your unlanded Roman relatives convert to Italian Culture;;;;;;;;;x
irck2_convert_to_dalmatian_desc;You and your unlanded Roman relatives convert to Dalmatian Culture;You and your unlanded Roman relatives convert to Dalmatian Culture;You and your unlanded Roman relatives convert to Dalmatian Culture;;You and your unlanded Roman relatives convert to Dalmatian Culture;;;;;;;;;x
irck2_convert_to_romanian_desc;You and your unlanded Roman relatives convert to Vlach Culture;You and your unlanded Roman relatives convert to Vlach Culture;You and your unlanded Roman relatives convert to Vlach Culture;;You and your unlanded Roman relatives convert to Vlach Culture;;;;;;;;;x
irck2_convert_to_occitan_desc;You and your unlanded Roman relatives convert to Occitan Culture;You and your unlanded Roman relatives convert to Occitan Culture;You and your unlanded Roman relatives convert to Occitan Culture;;You and your unlanded Roman relatives convert to Occitan Culture;;;;;;;;;x
irck2_convert_to_frankish_desc;You and your unlanded Roman relatives convert to French Culture;You and your unlanded Roman relatives convert to French Culture;You and your unlanded Roman relatives convert to French Culture;;You and your unlanded Roman relatives convert to French Culture;;;;;;;;;x
irck2_convert_to_catalan_desc;You and your unlanded Roman relatives convert to Catalan Culture;You and your unlanded Roman relatives convert to Catalan Culture;You and your unlanded Roman relatives convert to Catalan Culture;;You and your unlanded Roman relatives convert to Catalan Culture;;;;;;;;;x
irck2_convert_to_castillan_desc;You and your unlanded Roman relatives convert to Castilian Culture;You and your unlanded Roman relatives convert to Castilian Culture;You and your unlanded Roman relatives convert to Castilian Culture;;You and your unlanded Roman relatives convert to Castilian Culture;;;;;;;;;x
